origin_id,destine_id,weight
028,032,3
028,999,2115
029,001,25
029,002,22
029,003,52
029,004,43
029,005,28
029,006,13
029,007,56
029,008,45
029,009,2873
029,010,6
029,011,93
029,012,130
029,013,571
029,014,144
029,015,2370
029,016,56
029,017,236
029,018,11
029,019,155
029,020,97
029,021,17332
029,022,142
029,023,40
029,024,42
029,025,31
029,026,115
029,027,43
029,028,78
029,029,151112
029,030,398
029,031,10
029,032,29
029,999,1980
030,001,16
030,002,220
030,003,178
030,004,1729
030,005,106
030,006,22
030,007,196
030,008,85
030,009,3354
030,010,23
030,011,109
030,012,109
030,013,1234
030,014,186
030,015,2589
030,016,83
030,017,82
030,018,13
030,019,578
030,020,1236
030,021,2661
030,022,178
030,023,107
030,024,183
030,025,283
030,026,818
030,027,789
030,028,3543
030,029,104
030,030,632639
030,031,56
030,032,11
030,999,6344
031,002,6
031,003,3
031,004,995
031,005,1
031,006,1
031,007,24
031,008,6
031,009,99
031,012,5
031,014,15
031,015,38
031,016,6
031,017,4
031,018,1
031,019,18
031,020,2
031,021,7
031,022,3
031,023,5679
031,025,2
031,026,6
031,027,86
031,028,9
031,030,24
031,031,226189
031,032,2
031,999,2080
032,001,2497
032,002,5
032,003,2
032,004,1
032,005,173
032,006,12
032,007,1
032,008,64
032,009,40
032,010,173
032,011,82
032,012,11
032,013,3
032,014,457
032,015,30
032,016,7
032,017,3
032,018,38
032,019,164
032,020,4
032,021,9
032,022,17
032,023,3
032,024,623
032,025,52
032,026,31
032,027,2
032,028,31
032,030,11
032,032,123345
032,999,1828
