origin_id,destine_id,weight
018,025,42
018,028,1
018,030,2
018,032,2
018,999,2746
019,002,1
019,005,69
019,006,2
019,007,1
019,009,9
019,010,2
019,011,1
019,013,2
019,014,4
019,015,5
019,016,2
019,017,2
019,019,133803
019,021,2
019,024,88
019,025,2
019,028,86
019,030,7
019,999,7926
020,001,3
020,002,9
020,004,4
020,005,10
020,006,3
020,007,323
020,008,59
020,009,359
020,010,4
020,011,11
020,012,306
020,013,7
020,014,38
020,015,295
020,016,33
020,017,17
020,018,1
020,019,12
020,020,611262
020,021,1333
020,022,10
020,023,2
020,024,5
020,025,6
020,026,4
020,027,57
020,028,9
020,029,8
020,030,1783
020,031,2
020,032,4
020,999,29156
021,001,1
021,002,1
021,004,1
021,005,18
021,006,1
021,007,6
021,008,2
021,009,266
021,010,1
021,011,7
021,012,11
021,013,209
021,014,8
021,015,211
021,016,2
021,017,294
021,019,5
021,020,210
021,021,497673
021,022,16
021,023,1
021,024,1
021,025,2
021,026,1
021,027,2
021,028,3
021,029,813
021,030,744
021,031,1
021,999,20485
022,003,1
022,005,4
022,007,1
022,009,72
022,010,1
022,011,145
022,012,11
022,013,22
022,014,4
022,015,107
022,016,39
022,017,4
022,019,4
022,020,1
022,021,76
022,022,79785
022,024,92
022,025,2
022,027,1
022,028,2
022,029,2
022,030,6
022,032,2
022,999,3327
023,002,1
023,004,8
023,007,6
023,008,2
023,009,12
023,012,1
023,014,2
023,015,7
023,017,2
023,019,4
023,021,8
023,023,46335
023,027,4
023,028,2
023,030,6
023,031,273
023,999,1986
024,001,15
024,003,1
024,004,1
024,005,13
024,006,1
024,009,28
024,010,3
024,011,27
024,012,1
024,013,95
024,014,9
024,015,18
024,016,4
024,017,3
024,018,1
024,019,127
024,021,5
024,022,112
024,024,177176
024,026,1
024,028,300
024,030,96
024,032,187
024,999,8109
025,001,1
025,002,5
025,003,1
025,008,3
025,009,12
025,010,4
025,012,5
025,014,27
025,015,3
025,017,1
025,018,58
025,019,1
025,021,1
025,022,1
025,024,1
025,025,84231
025,026,22
025,028,1
025,030,3
025,031,1
025,999,5231
026,002,219
026,003,1
026,005,2
026,008,13
026,009,19
026,011,2
026,014,13
026,015,3
026,016,4
026,017,2
026,018,5
026,019,5
026,020,2
026,021,3
026,022,2
026,023,1
026,025,147
026,026,113880
026,028,1
026,030,2
026,032,1
026,999,5911
027,004,82
027,006,1
027,007,413
027,009,17
027,015,1
027,017,2
027,019,1
027,021,6
027,022,1
027,023,1
027,025,1
027,027,80026
027,028,1
027,030,41
027,031,12
027,999,4136
028,001,2
028,002,1
028,005,1
028,007,1
028,009,13
028,011,3
028,012,1
028,013,2
028,014,3
028,015,9
028,019,209
028,021,3
028,022,1
028,024,42
028,027,2
028,028,100278
028,030,29
028,999,6328
029,001,1
029,002,1
029,005,4
029,009,305
029,010,2
029,011,2
029,012,2
029,013,167
029,014,6
029,015,175
029,016,1
029,017,7
029,018,1
029,019,2
029,020,9
029,021,6450
029,022,6
029,024,1
029,025,1
029,027,2
029,028,1
029,029,133585
029,030,27
029,031,1
029,032,6
029,999,5456
030,001,2
030,002,4
030,003,1
030,004,10
030,005,6
030,006,3
030,007,22
030,008,1
030,009,229
030,010,1
030,011,12
030,012,3
030,013,966
030,014,28
030,015,164
030,016,7
030,017,9
030,018,1
030,019,38
030,020,377
030,021,1517
030,022,15
030,023,7
030,024,41
030,025,2
030,026,2
030,027,216
030,028,1447
030,029,22
030,030,542127
030,031,7
030,999,22157
031,004,190
031,007,4
031,008,1
031,009,13
031,011,1
031,014,3
031,015,6
031,019,3
031,021,2
031,023,133
031,027,2
031,030,2
031,031,168131
031,999,7192
032,001,779
032,002,1
032,005,68
032,007,2
032,008,2
032,009,28
032,010,85
032,011,13
032,013,3
032,014,401
032,015,14
032,016,2
032,017,3
032,018,6
032,019,19
032,020,1
032,021,1
032,022,5
032,024,80
032,025,2
032,028,2
032,029,1
032,030,1
032,032,129099
032,999,5614
